ruc,razon_social,tipo_contribuyente,profesion_oficio,nombre_comercial,condicion_contribuyente,estado_contribuyente,fecha_inscripcion,fecha_inicio_actividades,departamento,provincia,distrito,direccion,telefono,fax,actividad_comercio_exterior,ciiu_principal,ciiu_secundario_1,ciiu_secundario_2,afecto_nuevo_rus,buen_contribuyente,agente_retencion,agente_percepcion_venta_interna,agente_percepcion_combustible,fecha_consulta
20118578415,CENT.DE COOP.AGR. CAF.VALLES SANDIA LTDA,"COOPERATIVAS, SAIS, CAPS",,CECOVASA LTDA,HABIDO,ACTIVO,1993-04-25,1970-05-02,PUNO,SANDIA,SAN JUAN DEL ORO,AV. AGRICULTURA NRO. 99,,,EXPORTADOR,VTA.  MAY. DE MATERIAS PRIMAS AGROPEC.,ELAB DE OTROS PROD. ALIMENTICIOS.,,NO,,"NO, Excluido del Régimen de Agentes de Retención de IGV a partir del 01/01/2025",,,2026-09-19T21:40:58.666Z
20118588135,CENTRAL DE COOPERATIVAS DE SERVICIOS ESPECIALES ALPAQUERAS DE PUNO LTDA. - CECOALP,"COOPERATIVAS, SAIS, CAPS",,CECOALP,HABIDO,ACTIVO,1993-04-25,1991-01-01,PUNO,SAN ROMAN,JULIACA,JR. MIRAFLORES NRO. 1496 URB. SAN FRANCISCO (A UNA ACUADRA MERDO.PEDRO VILCA A.),,,IMPORTADOR/EXPORTADOR,VTA.  MAY. DE MATERIAS PRIMAS AGROPEC.,,,NO,,,,,2026-09-19T21:40:58.666Z
20119208026,FONGAL TACNA,ASOCIACION,,FONGAL TACNA,HABIDO,ACTIVO,1993-04-29,1980-09-04,TACNA,TACNA,CRL. GREG. ALBARRACIN LANCHIPA,OVL. CUSCO NRO. S/N FND. LA AGRONOMICA,,,SIN ACTIVIDAD,ELAB DE OTROS PROD. ALIMENTICIOS.,"SERVICIOS AGRICOLAS, GANADERAS.",,NO,,,,,2026-09-19T21:44:11.515Z
20129156083,COOP AGRARIA CAFET VALLE RIO APURIMAC,"COOPERATIVAS, SAIS, CAPS",,CAC VALLE RIO APURIMAC,HABIDO,ACTIVO,1993-05-04,1969-12-14,AYACUCHO,LA MAR,AYNA,AV. 28 DE JULIO NRO. 4 (PUERTO SAN FRANCISCO),,,EXPORTADOR,"VTA. MAY. ALIMENTOS, BEBIDAS Y TABACO.","ELAB. CACAO, CHOCOLATE Y CONFIT.",,NO,,,,,2026-09-19T21:40:58.666Z
20129529530,COOP AGRARIA CAFETALERA SATIPO LTDA,"COOPERATIVAS, SAIS, CAPS",,C.A.C. SATIPO LTDA.,HABIDO,ACTIVO,1993-05-04,1993-03-11,JUNIN,SATIPO,SATIPO,JR. MANUEL PRADO NRO. 433,,,EXPORTADOR,CULTIVO DE FRUTAS.,,ACTIVIDADES INMOBILIARIAS,NO,,"SI, incorporado al Régimen de Agentes de Retención de IGV (R.S.229-2024) a partir del 01/01/2025",,,2026-09-19T21:40:58.666Z
20129772043,COOPERATIVA COMUNAL VICCO LTDA,"COOPERATIVAS, SAIS, CAPS",,COOPERATIVA COMUNAL VICCO LTDA,HABIDO,ACTIVO,1993-05-04,1972-09-05,PASCO,PASCO,VICCO,AV. CERRO DE PASCO NRO. 990 CERCADO (COST. CAPILLA 3 DE MAYO),,,SIN ACTIVIDAD,CRIA DE GANADO.,TRANSPORTE  DE CARGA POR CARRETERA.,,NO,,,,,2026-09-19T21:44:11.515Z
20129830426,COOPERATIVA COMUNAL HUAYLLAY LTDA 16,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,1993-05-04,1972-02-13,PASCO,PASCO,HUAYLLAY,PZA. RAMON CASTILLA NRO. 121 HUAYLLAY,,,SIN ACTIVIDAD,CRIA DE GANADO.,ELAB DE PRODUCTOS LACTEOS.,,NO,,,,,2026-09-19T21:44:11.515Z
20129842351,COOPERATIVA COMUNAL SAN ANTONIO DE RANCAS LTDA. 289,"COOPERATIVAS, SAIS, CAPS",,RANCAS,HABIDO,ACTIVO,1993-05-04,1957-10-31,PASCO,PASCO,SIMON BOLIVAR,CAL. SAN MARTIN NRO. 121 SN ANTONIO RANCAS (PLAZA PRINCIPAL),,,SIN ACTIVIDAD,CRIA DE GANADO.,TRANSPORTE  DE CARGA POR CARRETERA.,OTROS TIPOS DE VENTA AL POR MENOR.,NO,,,,,2026-09-19T21:44:11.515Z
20131453427,COOPERATIVA COMUNAL SAN PEDRO DE RACCO,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,1993-05-04,1969-09-23,PASCO,PASCO,SIMON BOLIVAR,AV. FEDERICO ROJAS HERRERA NRO. S/N ANX. SAN PEDRO DE RACCO,,,SIN ACTIVIDAD,CRIA DE GANADO.,ALQUILER OTROS TIPOS MAQ.Y EQUI. NCP.,CRIA DE ANIMALES DOMESTICOS.,NO,"SI, incorporado al Régimen de Buenos Contribuyentes (Resolución N° 1930050007770) a partir del 01/02/2022",,,,2026-09-19T21:44:11.515Z
20132489824,COOPERATIVA AGRARIA CAFETALERA CHANCAMAYO LTDA. N° 008-B-VII,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,1993-05-06,1974-02-15,CUSCO,LA CONVENCION,SANTA ANA,AV. EDGAR DE LA TORRE NRO. 1353 (CENTRAL COCLA),,,SIN ACTIVIDAD,TRANSPORTE  DE CARGA POR CARRETERA.,"SERVICIOS AGRICOLAS, GANADERAS.",ACTIVIDADES INMOBILIARIAS,NO,,,,,2026-09-19T21:42:35.997Z
